Class,Category
transaction,"Your SIP installment under HDFCMF folio 9491816 for Rs.5000 will be debited on 20-10-2017 from your bank account with AXIS BANK LTD. For details, contact your financial advisor(if any), call us on 1800 3010 6767 (Toll Free), email us on cliser@hdfcfund.com or visit our nearest branch"
promotion,Priye Grahak! Aapke Rs.70 ke rchg ka benefit Rs 70 de diya gaya hai. Dial kare *121*21# Sasti Call Rates ke liye. Dhanyavaad!
otp,OTP for transaction of INR 23300.00 on your card xx9833 at REZAVENUE. is 124004. OTP expires in 10 mins & please do not share it with anyone for security reasons.
promotion,Big Bazaar NCR - Potato/Radish@10/kg Spinach@11/kg Sarson Saag@13/kg Pumpkin@17/kg Brinjal Bharta@21/kg Gobhi@27/kg Lauki/Bhindi@30/kg Kheera/Methi@32/kg
promotion,Buy Shops PRELEASED with Most Trusted Brand of India in just 8 Lac RERA Registered Mall in NCR Get Rs.6875/- Per Month 12 Yrs
transaction,ALERT:Link Aadhaar to avoid A/C blocking goo.gl/AEXHB4 16Oct17:A/C 591359 debited by Rs 6624;Bal:Rs 571602.86[BRN-CLG-CHQ PAID TO APEEJAY]
promotion,It's Virat's birthday blast and we've got a gift for you. Shop from Wrogn at Shoppers Stop from 3rd to 5th November & get FLAT 40% OFF
otp,"Dear Customer, 167662 is the One Time Password for your Aadhaar based re-verification valid for 10 minute. Please share the OTP with the Retailer."
promotion,*1lac Bulk Sms @5000* 4lac Bulk sms @16000 5lac Bulk sms @ 20000 Deal Only For Today *Generate Your Leads *Grow your Business *Full Data Support Call-8800664993
promotion,"Rs349=UNLIMITED Loc+STD call+28GB (1GB/din-Sabhi H/S par) 28 din. Rs149=UNLIMITED Airtel call+2GB data, 28 din. T&C. Offer ke liye, click Airtel.in/5/m"
otp,User verification code 729416 for xyz company.
otp,Otp for online purchase thru State Bank Debit Card 4523*****52 is 255325. Do not share this with anyone.
promotion,Greetings from Bajaj Finserv ! Please help us to complete your profile in order to bring some exciting exclusive offers. Click below: https://convbot.hellotars.com/conv/BJD66l?campaign=9311444460&amount=1100000
transaction,Hello! Your a/c no 49591359 has been debited by Rs 5449 on 2017-10-10. The a/c balance is Rs 600604.56. Info: NACH-DR- TP ACH ICICI BANK
promotion,It's Virat's birthday blast and we've got a gift for you. Shop from Wrogn at Shoppers Stop from 3rd to 5th November & get FLAT 40% OFF
promotion,"Buy 1 Get 1 FREE Full Body Checkup for 2 at Rs 1299. (50+ Tests)-Thyroid,CBC,LFT,KFT,Lipid,Sugar. Now also in Lucknow & Kanpur."
otp,Thank you for downloading my airtel app. Your One Time Password(OTP) for completing your registration on the app is 6204. It is usable once and valid for 30 mins from the request. Please do not share OTP with anyone.
transaction,Your a/c 591359 is debited INR 10000.00 on 07-10-2017 18:00:57 A/c Bal is INR 606053.56 Info: CASH-ATM/HDEL0120. Get Axis Mobile: m.axisbank.com/cwdl
promotion,"Preview of ONE DAY SALE on Footwear,Handbags,Sportswear at CENTRAL on 3 Nov! Get EVERYTHING at 50% OFF in over 50 brands+PAYBACK Pts. See u at CENTRAL Tmrw!"
otp,926965 is your OTP (One Time Password) to change your email ID to sumitabatra1solutions@gmail.com. Click https://a.p-y.tm/zw4hoo99q0l77kg if you did not request this.
transaction,Hello! Your a/c no 49591359 has been debited by Rs 2100 on 2017-09-16. The a/c balance is Rs 580412.56. Info: BRN-CLG-CHQ PAID TO VALEDRA PRIVATE LIMI
transaction,"Your SIP installment under HDFCMF folio 9491816 for Rs.5000 will be debited on 20-09-2017 from your bank account with AXIS BANK LTD. For details, contact your financial advisor(if any), call us on 1800 3010 6767 (Toll Free), email us on cliser@hdfcfund.com or visit our nearest branch"
promotion,"Why use cash when you can transact instantly with your Axis Bank Debit Card! Pay bills,Shop online/at stores,Book your travel & much more."
promotion,"Our passion to disrupt trends remains strong as ever. Celebrating our 15th Anniversary, between 3-12th Nov. maspar offers a Flat 15% discount on all products."
otp,Your OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet. 187700 is your login OTP.
promotion,Did you know about the additional benefits on shopping & dining using your Axis Bank Titanium Rewards Debit Card.To know more: http://bit.ly/2uDMDx5
otp,"Dear Customer, 145595 is your one time password (OTP). Please enter the OTP to proceed. Thank you, Team Jio"
promotion,WEEKEND FLASH SALE! FLAT 30% OFF - starts tomorrow at LIFESTYLE stores & online at http://bit.ly/flat30p Valid from 3 - 5 Nov. T&C apply.
promotion,"Last 4 hours to Book Health Check@Rs 599 CBC,LFT,KFT,Lipid,Sugar & TFT (60+Tst)+FREE Collect from NABL Labs. Call Healthish@ 9266602955 https://goo.gl/vejdF5"
promotion,"SPECIAL OFFER Zabardast Toofan Bhari Jawani WAPIS laye. JOSH, URJA AUR SAMAYE BADAYE Kewal 10 dino me 100% Ayurvedic for Male and Female SMS WHT TO 56161"
promotion,"Hi Sumita, 5,000 customers who bought Jeans at Pantaloons, also bought T-Shirts for their loved ones. Shop from 600+ styles starting Rs 249. We welcome you to your preferred Pantaloons @ Great India Place, Noida."
otp,"Dear Customer, 605286 is your one time password (OTP). Please enter the OTP to proceed. Thank you, Team Jio"
otp,You have initiated a txn of INR 889.50 at Book My Sh on ICICI Bank Card no.5504. OTP is 602299. DONT SHARE WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.
promotion,"ONE DAY SALE on Footwear, Handbags, Sportswear at CENTRAL on 04 Nov. Special PAYBACK Preview on 03 Nov, Friday! Get EVERYTHING at 50% OFF on over 50 brands."
promotion,"MamyPoko, Pampers or Huggies? Get all up to 30% off only on Amazon Super Value Days. 2nd Nov Only. SHOP & SAVE with PAYBACK Points"
promotion,"Festive Dhamaka! Possession in Dec-2018!!! Pay Just 25% & Book 2BHK at CAPETOWN,Sec-74 Noida Free Modular Kitchen,Car parking,Wardrobe Call 9211278375"
otp,Use 322120 as your login OTP. OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet.
promotion,Gourmet Fest is here! Indulge in 3 course meal@Rs799* from 3rd to 19th Nov'17
otp,Use 322120 as your login OTP. OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet.
otp,Use 322120 as your login OTP. OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet..
promotion,Full Body Massage @ 799/-Only. By Young Female Therapist. Treat Ur Body. Visit-306 2nd Floor Jaipuria Plaza Sec-26 Noida. !Gaillard SPA! For Offer CL-9871241361
promotion,YaY! Amazon Super Value Days is back (1st & 2nd Nov only). Get up to 45% off on Groceries. EARN PAYBACK Points to SAVE more.
promotion,Get Thyroid & Heart Wellness package (75+ test) with Thyroid & extended Lipid profile @ spl price of Rs1499. Call HINDUSTAN WELLNESS NABL Accredited -9810981073
promotion,Shop & Office Space Starting @ 17 lac in greater noida Opposite to delta-1 metro station Loan & Rera approved 30:30:40 payment plan
promotion,LAST WEEK to grab HomeTown NEW DIWALI COLLECTION. Get 500+ gifting options from Rs.199 & FLAT 50%OFF on Furniture. Hurry! Offer Ends 2nd Nov. T&C
otp,Use 9633 as your OTP (One Time Password) to confirm login.
promotion,400 Special Reward Points have been credited to ur Shoppers Stop First Citizen Card ending 9143 redeemable on purchase of Rs1000 from Isadora.Ends 12Nov.T&Caply
promotion,"EK BEHTAR LIFESTYLE KI SHURUAAT PRATEEK GRAND CITY KE SAATH! Book UR Dream Home in 1.5 Lac,2bhk at 29.90 lac. Get Gold Upto 45gms with every booking 8010959959"
otp,Use 6690 as one time password (OTP) to login to your airtel account. Do not share this OTP to anyone for security reasons. Valid for 15 minutes.
promotion,Buy 2 Kraus Jeans from Shoppers Stop and Get Rs 300 OFF + Win a chance to meet Vaani Kapoor. T&C Apply.
otp,You have initiated a txn of INR 50.00 at PayTm Mobi on ICICI Bank Card no.5504. OTP is 654062. DONT SHARE WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.
promotion,"Shop & get up to 50% back as First Citizen Reward Points on Peter England,Theme, Arrow & another 100+ brands at Shoppers Stop & HomeStop. T&C Apply."
promotion,Weekend sale on Diamonds is back!Shop@Kalyan Jewellers & enjoy a flat 20% off on purchase of diamond jewellery above 50000 Rs.Rush now. Use code IWZY858H.
promotion,"100 Reward Points are credited to ur First Citizen card ending 9143,redeemable on shopping of Soulflower products from HomeStop/Shoppers Stop,till 12Nov.T&Caply"
promotion,"It's Now or Never! Clinic Dermatech is offering Full Body Laser Hair Reduction at just Rs. 49,999. Hurry! Limited time offer. For Free Trial Call 8800889945"
otp,[HackerEarth] The one time password(OTP) to verify your phone number is 820241. Please note that the password is valid only for 30 minutes.
otp,Freecharge verification code: 7047. It is valid for 08 minutes. Please do not share your OTP or password with any anyone to avoid misuse of your account
promotion,Attractive interest rates on Ford Aspire & Ford Figo only with Axis Bank Car Loans. Get this exciting offer today. To avail click http://bit.ly/2xW84uG or give a missed call on 18004197878.
promotion,Mercedes-Benz C-Class with Rs.0 Down Payment+ 0% ROI +Complimentary Insurance+Assured Buy back*+ Diamond Ring
otp,You have initiated a txn of INR 200.00 at ONE97 COMC on ICICI Bank Card no.5504. OTP is 290532. DONT SHARE WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.
promotion,Post Diwali Health Checkup @ Rs2999 (incl. Extended DIABETES & HEART WELLNESS for 2 Members+ 1 Diet Chart+ 1 Diet Consult.) Call Hindustan Wellness @ 9810981073
otp,"226033 is your OTP for payment of Rs 280.0 at PVR Cinemas. Next time, don't wait for an SMS. In your Paytm app, tap Pay or Send, then tap Show Code and share 6 digit code to complete payment."
otp,"Hi, One Time Password for your Airtel Mobile Transaction is 818666. Please use this OTP to complete the transaction."
promotion,"Deal of the Week: 60 health test at Rs999 only! Diabtes,Thyroid,CBC,KFT,LFT,Choltrl+FREE HomePickup+FREE Dr.Consult. Give miss call to Lybrate at 8655053857"
otp,Registration OTP: 9899
promotion,"Fabindia presents Twinkle Khanna's play ""Salaam Noni Appa"" feat. the enchanting Lilette Dubey. 29th Oct. Siri Fort Auditorium. Book now"
promotion,"BINDALS WEEKEND OFFER SHOW THIS MESSAGE & GET FLAT 10% DISCOUNT, Shop BENETTON For Rs.20000 & Get Rs.5000 OFF, Shop U.S.POLO For Rs.9999 & Get Rs.2000 OFF"
promotion,"HAPPY BHAIDUJ-HERO Scooters(MaestroEdge,Duet,Pleasure) par Rs.7000 tak & BIKES par 4000 tak ka nagad labh.HURRY-LIMITED STOCK & VALID till 22nd Oct"
otp,"Dear User, Your OTP for verification is 578104.Please do not share your OTP with anyone. - e-Filing, Income Tax Department"
transaction,"Your A/c 501/SB/01/001458 @Br NOIDA S S I changed to 520101255560970 as part of Technology Transformation. However, credits received thru NEFT/RTGS/ECS etc in old format continues to be honoured. Please operate with New A/c No. henceforth. Please visit your branch for any clarifications. CorpBank$ thread_id: 684$ date: 1508782316688$ date_sent: 1508782313000"
otp ,3307 is your DIsney+Hotstar verification code. Enjoy watching.
otp ,Your Amazon Web Services(AWS) verification code is: 5661
transaction,"Dear Policyholder, fund value of your policy 703765362 is Rs 90829. Stay invested to enjoy policy benefits"
transaction,"Dear Customer,EMI of Rs. 5449.00 towards ICICI Bank Loan Account XX8786 is due on 10-Oct-17"
otp,Your Chegg mobile otp is: 454917
transaction,Your a/c 591359 is debited INR 10000.00 on 07-10-2017 18:00:57 A/c Bal is INR 606053.56 Info: CASH-ATM/HDEL0120. Get Axis Mobile: m.axisbank.com/cwdl$ thread_id: 48
otp,Your steam gaurd code F5H22P
transaction,Hello! Your a/c no 49591359 has been debited by Rs 5449 on 2017-08-10. The a/c balance is Rs 553187.56. Info: NACH-DR- TP ACH ICICI BANK
otp,Your google verfication code is 165220
transaction,Hello! Your a/c no 49591359 has been debited by Rs 22485 on 2017-07-24. The a/c balance is Rs 539862.56. Info: BRN-CLG-CHQ PAID TO CMS BRANCH POOL ACCO
otp,Please use otp 911255
transaction,Your a/c 591359 is debited INR 6000.00 on 23-07-2017 10:34:13 A/c Bal is INR 569031.56 Info: CASH-ATM/SN003103. Get Axis Mobile: m.axisbank.com
